名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント
[投手]イチロー,投手+野手,球速&肩力,レンジャー,高速レーザー(確定)＋広角砲(確定)¶安打製造機(確定),イチシーム(不確定)＋ハイスピンジャイロ(確定)¶精密機械(確定)＋ハイスピンジャイロ(確定)¶一徹(確定),イチシーム : 球速,コントロール+8¶ミート+6,なし,後イベ
怪しいもの屋の店主,野手,守備&打撃,バウンサー,一発逆転王(確定)＋広角砲(確定),強心臓(確定)＋アーチスト(確定),-,走力+2¶肩力+4,なし,後イベ
[秘密兵器]虹谷彩理,投手,コントロール,スナイパー,切磋琢磨(確定)＋一球入魂(確定)¶切磋琢磨(確定)＋孤軍奮闘(確定),形勢逆転(確定)＋先手必奪(確定)¶形勢逆転(確定)＋鉄仮面(確定),-,コントロール+4¶スタミナ+2,なし,前イベ
[はろゐん]千代姫,野手,守備&肩力,スナイパー,読心術(確定)＋ホームランボール(不確定),精密機械(確定)＋勝利の星(不確定),-,ミート+2¶捕球+2,なし,前イベ
真開彩葉,野手+投手,筋力&スタミナ,ガード,アーチスト(確定)＋大番狂わせ(確定),不屈の魂(確定)＋怪童(確定),-,コントロール+4¶パワー+4,なし,後イベ
[挑戦!]泡瀬満里南,投手,メンタル&コントロール,スナイパー,看破(確定),フローターパール(不確定)＋ディレイドアーム(確定)¶必殺火消し人(確定)＋マインドブレイカー(確定),フローターパール : スタミナ,コントロール+4,なし,前イベ
串社玉緒,野手,走塁&肩力,スナイパー,魔術師(確定)＋心眼(確定)¶トリックスター(確定),ド根性(確定)＋速球プライド(確定)¶意気揚々(確定),-,走力+4¶肩力+2,なし,前イベ
クラピカ,野手,走塁&守備,バウンサー,孤軍奮闘(確定)¶威圧感(野手)(確定)¶至高の遊撃手(確定)＋孤軍奮闘(確定),闘魂(確定)¶威圧感(投手)(確定),-,パワー+2¶走力+4,なし,後イベ
レオリオ,野手,守備&肩力,レンジャー,電光石火(確定)＋大番狂わせ(確定)¶カリスマ(野手)(確定)＋ホームランフィーバー(確定),ド根性(確定)¶カリスマ(投手)(確定),-,肩力+2¶捕球+4,なし,前イベ
ヒソカ,投手+野手,変化球&打撃,スナイパー,トリックスター(確定),完全燃焼(確定)＋勇猛果敢(確定),-,コントロール+2¶スタミナ+2,なし,前イベ
ビスケ,野手,筋力&肩力,バウンサー,アーチスト(確定)＋切磋琢磨(確定),完全制圧(確定),-,ミート+2¶肩力+2,なし,前イベ
キルア,投手+野手,球速&走塁,レンジャー,洗礼の一撃(確定),雷咆(不確定)＋変化球プライド(確定)¶アームブレイカー(確定)＋変化球プライド(確定),雷咆 : 球速,コントロール+6¶走力+2,なし,後イベ
ゴン,野手,肩力&打撃,スナイパー,昇り龍(確定)＋ホームランボール(確定)¶火事場の馬鹿力(確定),超尻上がり(確定),-,パワー+2¶肩力+4,なし,後イベ
蒼鳥つばさ,投手+野手,コントロール&打撃,スナイパー,広角砲(確定)＋祝福(確定)¶高球必打(確定)＋祝福(確定),勝利の星(確定)＋意気揚々(確定)¶怪童(確定)＋意気揚々(確定),-,コントロール+8¶守備力+8,なし,前イベ
[ワールドクラス]東條小次郎,野手,筋力&守備,バウンサー,火事場の馬鹿力(確定)＋ローリング打法(確定),闘魂(確定)＋怪物球威(確定),-,ミート+4¶パワー+4,なし,後イベ
[水着]小山雅,野手,守備&走塁,スナイパー,ホームランフィーバー(確定)＋アイコンタクト(不確定),超尻上がり(確定),不明,守備力+4,なし,後イベ
[ドレス]白瀬芙喜子,野手+投手,肩力&スタミナ,スナイパー,ローリング打法(確定)＋つるべ打ち(確定)¶切磋琢磨(確定)＋帰巣本能(確定),変幻自在(確定)＋強心臓(確定)¶ジャストフィット(確定)＋みなぎる活力(確定),-,走力+2¶守備力+2,なし,後イベ
[クール！]小平陽向,野手,打撃&守備,スナイパー,気迫ヘッド(確定)¶牛若丸(確定),ド根性(確定)¶原点投球(確定),-,肩力+2¶捕球+2,なし,前イベ
鈴島紫音,彼女,,レンジャー,ヒートアップ(確定)＋情熱エール(確定),エースの風格(確定)＋完全制圧(確定),-,走力+2¶肩力+4,なし,前イベ
織部実留,野手,守備&肩力,ガード,走力バースト(確定)＋一番槍(確定),変幻自在(確定),-,守備力+2¶捕球+2,なし,前イベ
古羽流登,野手,走塁&肩力,バウンサー,逆襲(確定)＋エースキラー(確定),怪物球威(確定),-,ミート+2¶走力+2,なし,前イベ
久里武尊,投手+野手,変化球&筋力,スナイパー,金剛(確定)＋大番狂わせ(確定),完全燃焼(確定)＋超尻上がり(確定),-,球速+1¶パワー+4,なし,後イベ
五条悟,投手+野手,球速&打撃,バウンサー,アーチスト(確定)¶孤軍奮闘(確定),怪童(確定)＋虚式｢茈｣(不確定)¶一徹(確定)＋精密機械(確定)¶カモフラージュ(確定),虚式「茈」 : 球速,コントロール+4¶走力+2,なし,後イベ
東堂葵,野手,メンタル&筋力,レンジャー,ホームランフィーバー(確定)¶伝説のサヨナラ男(確定),怪童(確定)¶超尻上がり(確定),-,肩力+2¶捕球+2,なし,後イベ
釘崎野薔薇,野手,走塁&筋力,レンジャー,挑発(確定)＋メッタ打ち(確定)¶気迫ヘッド(確定),走者釘付(確定),-,パワー+2¶走力+2,なし,前イベ
伏黒恵,野手,打撃&守備,ガード,明鏡止水(確定)＋伝説のサヨナラ男(確定),形勢逆転(確定),-,肩力+4¶守備力+2,なし,後イベ
虎杖悠仁,投手+野手,スタミナ&肩力,レンジャー,恐怖の満塁男(確定)＋昇り龍(確定),至高のクローザー(確定)¶エースの風格(確定),-,スタミナ+4¶パワー+4,なし,前イベ
[リスタート]太刀川広巳,野手,メンタル&打撃,レンジャー,一発逆転王(確定)＋逆襲(確定),復活(確定)＋鉄腕(確定),-,ミート+2¶捕球+2,なし,後イベ
真開伊瑠花,野手,メンタル&走塁,ガード,魔術師(確定)＋切磋琢磨(確定)¶牛若丸(確定)＋切磋琢磨(確定),ドクターK(確定)¶精密機械(確定),-,走力+2¶捕球+2,なし,前イベ
[カロリーバースト]赤原勘八,野手,打撃,バウンサー,アーチスト(確定)＋スイープ(確定)¶洗礼の一撃(確定)＋スイープ(確定),勇猛果敢(確定)¶形勢逆転(確定),-,ミート+2 or 6(PSR覚醒時)¶パワー+2,［SR］タッグボーナス20％¶［PSR］ミート上限UP4,前イベ
[ハーピィ・レディ]孔雀舞,野手,守備&打撃,スナイパー,祝福(確定)＋高球必打(確定)¶ストレートキラー(確定),ジャストフィット(確定),-,走力+2¶肩力+2,なし,後イベ
[真紅眼の黒竜]城之内克也,投手,メンタル,バウンサー,昇り龍(確定),驚異の切れ味(確定)＋ディレイドアーム(確定)¶復活(確定),-,スタミナ+4,なし,前イベ
神楽坂社長,投手,変化球,レンジャー,なし,ジャストフィット(確定)＋金縛り(確定),-,コントロール+2¶スタミナ+2,なし,前イベ
夜叉姫,野手,守備,レンジャー,内角必打(確定)¶至高の外野手(確定)＋内角必打(確定),完全制圧(確定),-,守備力+2¶捕球+2,なし,前イベ
貧乏神,投手,変化球,レンジャー,明鏡止水(確定),不屈の魂(確定)＋マインドブレイカー(確定)¶もれちゃうぞボール(不確定)＋マインドブレイカー(不確定),もれちゃうぞボール&マインドブレイカー : 変化量,球速+1,なし,前イベ
雪野楓,投手,コントロール,スナイパー,一球入魂(確定)¶祝福(確定),精密機械(確定)¶鉄仮面(確定),-,コントロール+4,なし,前イベ
[アルティメット]明神陽,投手+野手,球速&筋力,レンジャー,昇り龍(確定),強心臓(確定)＋形勢逆転(確定),-,スタミナ+6¶肩力+2,なし,後イベ
るみな,投手,変化球,レンジャー,低球必打(確定)＋一球入魂(確定),カモフラージュ(確定)＋復活(確定),-,コントロール+8,なし,後イベ
桃太郎,野手+投手,筋力&コントロール,ガード,ストレートキラー(確定)＋切磋琢磨(不確定),勝利の星(確定)＋意気揚々(不確定),切磋琢磨・意気揚々 : 甲子園優勝,肩力+4¶スタミナ+4,なし,前イベ
雉田直実,彼女,,ガード,一球入魂(確定)＋ブリッツ(確定),先手必奪(確定)＋完全制圧(確定),-,パワー+4¶球速+1,なし,後イベ
猿川捻二,投手,守備,レンジャー,トリックスター(確定),走者釘付(確定)＋強心臓(確定),-,コントロール+4,なし,前イベ
犬山堅太郎,投手,スタミナ,ガード,心眼(不確定)¶一球入魂(不確定),原点投球(確定)＋鉄腕(確定)¶一徹(確定)＋鉄腕(確定),-,スタミナ+2,なし,後イベ
イチロー,野手,打撃&走塁,バウンサー,渾身の決勝打(確定)＋精神的支柱(確定)¶左キラー(野手)(確定)＋精神的支柱(確定),勇猛果敢(確定)＋精神的支柱(確定)¶原点投球(確定)＋精神的支柱(確定),-,ミート+4¶走力+4,なし,後イベ
[砲丸チョコ]塚見巴,投手+野手,球速&打撃,ガード,ストライク送球(確定)＋一球入魂(確定),ハイスピンジャイロ(確定)＋闘魂(確定),-,肩力+2¶コントロール+2,なし,前イベ
[鉢植えパフェ]土門季音,野手,走塁,レンジャー,情熱エール(確定)＋一球入魂(確定)¶精神的支柱(確定),ジャストフィット(確定)¶精神的支柱(確定),-,ミート+2¶肩力+2,なし,前イベ
[匠の技]堂江竜河,投手,変化球&球速,レンジャー,牛若丸(確定)＋精神的支柱(確定),カリスマ(投手)(確定)＋二刀流(確定)¶カリスマ(投手)(確定)＋必殺火消し人(確定),-,コントロール+4,なし,前イベ
ホールスアン4世,投手,球速&変化球,ガード,恐怖の満塁男(確定)＋伝説のサヨナラ男(不確定),サンドストーム(不確定)＋鉄腕(確定)¶エースの風格(確定)＋鉄腕(確定),-,コントロール+2¶スタミナ+2,なし,後イベ
[ブラマジガール]真崎杏子,投手,コントロール&変化球,ガード,精神的支柱(確定),意気揚々(確定)＋完全燃焼(確定)¶みなぎる活力(確定),-,スタミナ+2(Lv40以上時),なし,前イベ
[青眼の白龍]海馬瀬人,野手,肩力,レンジャー,大打撃(確定)＋ホームランボール(確定)¶火事場の馬鹿力(確定),ド根性(確定)＋完全制圧(確定),パワー(101以上で実践上成功確定),パワー+2¶捕球+2,なし,後イベ
[ブラマジ]武藤遊戯,野手,メンタル,レンジャー,勝負師(確定)＋心眼(確定),強心臓(確定),-,ミート+2¶守備力+2,なし,前イベ
[アイドル]ワーちゃん,野手,メンタル,ガード,牛若丸(確定)¶芸術的流し打ち(確定)¶至高の二塁手(確定)＋気迫ヘッド(確定),本塁打厳禁(確定)¶驚異の切れ味(確定),-,走力+2¶守備力+2,［SR］やる気効果UP50％¶［PSR］タッグボーナス40％,後イベ
[アイドル]パーちゃん,野手,守備,スナイパー,魔術師(確定)¶高速ベースラン(確定)¶至高の一塁手(確定)＋重戦車(確定),ドクターK(確定)¶暴れ球(確定),-,パワー+2¶捕球+2,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ
佐渡至皇理,野手,筋力,ガード,ラストエンペラー(確定)＋勝負師(確定)¶ラストエンペラー(確定)＋看破(確定),強心臓(確定)＋ディレイドアーム(確定)¶ドクターK(確定)＋ディレイドアーム(確定),-,パワー+4¶守備力+4,なし,後イベ
セティーヌ,野手,守備,ガード,勝負師(確定)¶魔術師(確定),ミスターゼロ(確定),-,肩力+2¶捕球+2,なし,前イベ
[黒サンタ]ジャベリン,野手,走塁&打撃,レンジャー,ブリッツ(確定),速球プライド(確定),-,ミート+2¶走力+2,なし,前イベ
白霧凍子,投手,変化球&球速,バウンサー,ストライク送球(確定),ホワイトアウト(確定)＋ディレイドアーム(確定)¶ハイスピンジャイロ(確定)＋ディレイドアーム(確定)¶ミスターゼロ(確定),-,球速+1,なし,前イベ
[フラメンコ]小鷹美麗,野手,守備,レンジャー,ローリング打法(確定)¶切磋琢磨(確定)捕手時¶球界の頭脳(確定)¶切磋琢磨(確定),ハイスピンジャイロ(確定),-,パワー+2¶肩力+2,なし,前イベ
[サンタ]京野小筆,野手,走塁,レンジャー,代打の神様(確定)＋情熱エール(確定),形勢逆転(確定)＋走者釘付(確定),-,走力+6,なし,前イベ
ラミィ,彼女,,ガード,祝福(確定)＋ストレートキラー(確定)¶祝福(確定)＋不動の四番(確定),みなぎる活力(確定)＋ジャストフィット(確定)¶みなぎる活力(確定)＋必殺火消し人(確定),-,ミート+4¶コントロール+4,なし,前イベ
ヌウビス,野手,肩力,バウンサー,切り込み隊長(確定)¶左キラー(野手)(確定)¶ローリング打法(確定),怪童(確定)¶精密機械(確定),-,走力+2¶肩力+2,なし,前イベ
建石十斗,野手,打撃,ガード,左キラー(野手)(確定)¶明鏡止水(確定)¶芸術的流し打ち(確定),勝利の星(確定)¶変幻自在(確定),-,ミート+2¶守備力+2,なし,後イベ
日向らら,野手,メンタル,ガード,カリスマ(野手)(確定)＋威圧感(野手)(確定)¶つるべ打ち(確定),勝利の星(確定)＋威圧感(投手)(確定),-,捕球+2,なし,後イベ
広川武美,彼女,,ガード,火事場の馬鹿力(確定)＋左キラー(野手)(確定)¶一球入魂(確定)＋切り込み隊長(確定),原点投球(確定)＋不屈の魂(確定)¶ディレイドアーム(確定)＋左キラー(投手)(確定),-,肩力+2(Lv40以上時)¶守備力+2(Lv40以上時),なし,前イベ
ピンク,野手,打撃&走塁,バウンサー,至高の遊撃手(確定)＋安打製造機(確定)¶スイープ(確定),安打製造機(確定),-,肩力+2¶捕球+2,なし,後イベ
大神博之,投手,変化球&球速,ガード,カリスマ(野手)(確定),至高のリリーバー(確定)¶二刀流(確定),-,コントロール+2,なし,後イベ
[少年]闇野栄剛,投手,変化球,スナイパー,ホームランボール(確定),マインドブレイカー(確定)＋本塁打厳禁(確定),-,スタミナ+4,なし,前イベ
闇野ルミナ,投手,変化球&球速,ガード,一球入魂(確定),ルミナスアーツ・燦(不確定)＋超尻上がり(確定)¶先手必奪(確定)＋超尻上がり(確定),ルミナスアーツ・燦 : コントロール,コントロール+4,なし,後イベ
諏訪野君子,彼女,,ガード,内野安打王(確定)＋メッタ打ち(確定)¶帰巣本能(確定)＋メッタ打ち(確定)捕手時¶ささやき戦術(確定)＋バズーカ(確定)¶ミラクルボイス(確定)＋バズーカ(確定),必殺火消し人(確定)＋意気揚々(確定)¶原点投球(確定)＋意気揚々(確定),-,ミート+2¶捕球+2,なし,後イベ
[追憶]霧崎礼里,野手,走塁&打撃,レンジャー,心眼(確定)＋大番狂わせ(確定),強心臓(確定),-,パワー+2¶肩力+2,なし,前イベ
胡蝶しのぶ,投手,変化球,バウンサー,芸術的流し打ち(確定),蝶ノ舞 戯れ(不確定)＋変幻自在(確定)¶鉄腕(確定)＋鉄仮面(確定),蝶ノ舞 戯れ : 変化量,コントロール+2,なし,後イベ
冨岡義勇,野手+投手,走塁&コントロール,レンジャー,安打製造機(確定)＋明鏡止水(確定)¶孤軍奮闘(確定),鉄仮面(確定),-,ミート+2¶守備力+2,なし,前イベ
煉獄杏寿郎,野手,打撃&筋力,ガード,球界の頭脳(確定)＋精神的支柱(確定)¶鉄人(確定),完全燃焼(確定),-,パワー+2¶走力+2,なし,後イベ
竈門禰豆子,相棒,,バウンサー,情熱エール(確定),意気揚々(確定),-,守備力+2(Lv40以上時)¶コントロール+2(Lv40以上時),なし,前イベ
嘴平伊之助,野手+投手,打撃&スタミナ,バウンサー,大打撃(確定)¶至高の三塁手(確定)＋恐怖の満塁男(確定),二刀流(確定),-,パワー+2¶スタミナ+2,なし,後イベ
我妻善逸,投手+野手,球速&走塁,ガード,走力バースト(確定),怪童(確定)＋霹靂一閃(不確定)¶至高のクローザー(確定),霹靂一閃 : 球速(171以上で実践上確定),球速+1¶走力+2,なし,前イベ
竈門炭治郎,野手+投手,打撃&球速,バウンサー,気迫ヘッド(確定)＋昇り龍(確定),エースの風格(確定),-,ミート+2¶走力+2,なし,後イベ
石触宴舞,野手+投手,打撃&スタミナ,バウンサー,挑発(確定)＋走力バースト(確定)¶気迫ヘッド(確定),復活(確定),-,走力+4¶捕球+4,なし,前イベ
[ジャスミン]美藤千尋,野手,打撃,バウンサー,安打製造機(確定)＋高球必打(不確定)¶挑発(確定)¶孤軍奮闘(確定),孤軍奮闘(確定),高球必打 : ミート,守備力+2,［SR］精神ボーナス10¶［PSR］練習効果UP20％,後イベ
ニャプテト,野手,走塁&守備,ガード,帰巣本能(確定)¶勝負師(確定)¶孤軍奮闘(確定),暴れ球(確定)¶走者釘付(確定),-,走力+2¶捕球+2,なし,後イベ
忠主七緒,彼女,,ガード,看破(確定)＋明鏡止水(確定),復活(確定)＋必殺火消し人(確定),-,肩力+2¶スタミナ+2,なし,後イベ
シュバリエ,野手+投手,筋力&球速,ガード,挑発(確定)＋ヒートアップ(不確定)¶球界の頭脳(確定)＋ヒートアップ(不確定),勇猛果敢(確定)＋怪物球威(不確定),調査中,守備力+2,なし,前イベ
佐渡摩智,野手+投手,走塁&コントロール,バウンサー,一発逆転王(確定)＋外角必打(不確定)¶芸術的流し打ち(確定),不屈の魂(確定)＋怪物球威(不確定),外角必打 : パワー,走力+2¶肩力+4(PSR覚醒時),［SR］敏捷ボーナス10¶［PSR］肩力上限UP4,前イベ
宮田良哉,野手,打撃&守備,バウンサー,一球入魂(確定)＋内角必打(不確定),本塁打厳禁(確定),不明,捕球+2,なし,後イベ
野球マスク,投手+野手,変化球&打撃,ガード,逆襲(確定)＋アイコンタクト(確定)¶看破(確定),ハイスピンジャイロ(確定)＋速球プライド(確定)¶闘魂(確定),-,ミート+2¶コントロール+2 or 6¶(6はPSR覚醒時),［SR］得意練習率UP20％¶［PSR］コントロール上限UP4,前イベ
笹木咲,投手,スタミナ&変化球,ガード,ホームランボール(確定),復活(確定)＋完全燃焼(不確定)¶超尻上がり(確定),完全燃焼 : スタミナ,スタミナ+2,なし,後イベ
椎名唯華,野手,守備&打撃,レンジャー,切り込み隊長(確定)＋大番狂わせ(不確定)¶ストライク送球(確定),勝利の星(確定),大番狂わせ : 評価(評価140以上で実践上確定),ミート+2¶守備力+2,なし,後イベ
夜見れな,野手,肩力&走塁,スナイパー,トリックスター(確定)＋読心術(不確定)¶魔術師(確定),驚異の切れ味(確定),読心術 : ミート(101以上で確定),走力+2¶肩力+2,なし,前イベ
土門季音,野手,走塁&打撃,レンジャー,情熱エール(確定)＋一球入魂(不確定)¶精神的支柱(確定),ジャストフィット(確定)¶精神的支柱(確定),一球入魂 : パワー(101以上で確定),ミート+2¶走力+2,なし,前イベ
[怪力無双]三本松一,野手,筋力&打撃,ガード,至高の一塁手(不確定)＋アーチスト(確定)¶ローリング打法(確定)＋アーチスト(確定),怪物球威(確定)＋闘魂(確定),至高の一塁手 : パワー,なし,なし,後イベ
[プライベート]館橋水奈都,選手兼彼女+野手,走塁&守備,レンジャー,ホームランフィーバー(確定)＋祝福(不確定),左キラー(投手)(確定),祝福 : デート回数(全消化で実践上確定),ミート+2¶守備力+2,なし,後イベ
[無敗の魔球]鳴海悠斗,投手,変化球&守備,スナイパー,魔術師(確定),ランブルフォール(不確定)＋ギアチェンジ(不確定)¶ミスターゼロ(確定)＋ギアチェンジ(不確定),金特2種 : コントロールオリ変+金特 : 総変化量,コントロール+2,なし,後イベ
[ザ・ダイナミック]七井＝アレフト,野手,打撃&筋力,ガード,アーチスト(確定)＋ヒートアップ(不確定)¶火事場の馬鹿力(確定)＋ヒートアップ(不確定),勝利の星(確定)¶勇猛果敢(確定),アーチスト : パワー火事場の馬鹿力 : ミートorパワーor依存なし,肩力+2¶ミート+4(PSR覚醒時),［SR］練習効果UP30％¶［PSR］ミート上限UP4,前イベ
[勇者マント]火野勇太郎,野手,走塁&筋力,レンジャー,電光石火(確定)＋芸術的流し打ち(不確定)¶ヒートアップ(確定),復活(確定),芸術的流し打ち : ミート,走力+2(Lv40以上時),なし,前イベ
[恋のキューピッド]天音姫恋,野手,打撃&守備,バウンサー,ブリッツ(確定)¶電光石火(確定),ハイスピンジャイロ(確定),-,ミート+2¶パワー+2,なし,後イベ
茂古葉萌子,野手,打撃&守備,バウンサー,ストライク送球(確定)＋伝説のサヨナラ男(確定),闘魂(確定),パワー,走力+2¶肩力+2,なし,前イベ
羽吹一歩,相棒,,ガード,牛若丸(確定),ギアチェンジ(確定),-,ミート+2¶捕球+2,なし,前イベ
[ワールドクラス]友沢亮,野手,肩力&打撃,スナイパー,広角砲(確定)＋カリスマ(野手)(不確定)¶明鏡止水(確定)＋カリスマ(野手)(不確定),原点投球(確定),カリスマ : 依存なし,走力+2(Lv40以上時)¶ミート+4(PSR覚醒時),［SR］試合経験点ボーナス20％¶［PSR］ミート上限UP4,後イベ
[フック船長]倉家凪,野手+投手,打撃&コントロール,バウンサー,ハゲタカ(確定)¶メッタ打ち(確定),みなぎる活力(確定)¶精密機械(確定),-,ミート+2¶守備力+2,［SR］初期評価20¶［PSR］精神ボーナス10,後イベ
[マレフィセント]黒聖良,野手,メンタル&守備,レンジャー,魔術師(確定)＋至高の外野手(不確定)¶魔術師(確定),完全燃焼(確定),至高の外野手 : 守備力(Sで担当の体感9割),肩力+2,なし,後イベ
[ハートの女王]オクタヴィア,投手,スタミナ&変化球,ガード,逆襲(確定)＋メッタ打ち(不確定)¶鉄人(確定),不屈の魂(確定)＋暴れ球(不確定)¶鉄腕(確定),暴れ球 : 球速,スタミナ+4,なし,後イベ
[誓いの魔球]星井スバル,投手,メンタル&変化球,ガード,切磋琢磨(確定),スターダストシュート(不確定)＋変化球プライド(不確定)¶二刀流(確定),オリ変+金特 : 総変化量,コントロール+4,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
[理想のマエケン]前田健太,投手,コントロール&変化球,ガード,明鏡止水(確定),マエケンスライダー(不確定)＋エースの風格(不確定)¶怪童(確定)¶変幻自在(確定),オリ変+金特 : 総変化量,コントロール+2,なし,後イベ
ヒカル,投手+野手,球速&肩力,バウンサー,カリスマ(野手)(不確定)＋広角砲(確定)¶カリスマ(野手)(不確定)＋ハゲタカ(確定),カリスマ(投手)(不確定)＋怪童(確定)¶カリスマ(投手)(不確定)＋必殺火消し人(確定),調査中,なし,なし,前イベ
レッド,投手,メンタル&球速,レンジャー,逆襲(確定)＋勝負師(不確定),形勢逆転(確定)＋勇猛果敢(不確定),調査中,コントロール+2(Lv40以上時),なし,前イベ
天本玲泉,彼女,,スナイパー,洗礼の一撃(確定)＋挑発(不確定),走者釘付(確定)＋金縛り(不確定),挑発、金縛り : 評価(評価MAXで実践上確定),なし,なし,前イベ
東優,野手,メンタル&筋力,バウンサー,読心術(確定),ミスターゼロ(確定),-,走力+2¶肩力+2,なし,前イベ
白瀬芙喜子,投手,スタミナ&変化球,ガード,メッタ打ち(確定)＋大打撃(確定),怪物球威(確定)＋みなぎる活力(不確定)¶怪童(確定)＋みなぎる活力(不確定),みなぎる活力 : 球速,なし,なし,後イベ
雨崎優輝,投手,スタミナ&球速,バウンサー,伝説のサヨナラ男(確定)＋切磋琢磨(確定),怪物球威(確定)＋意気揚々(確定)¶ドクターK(確定)＋意気揚々(確定),-,なし,なし,後イベ
菊度アイラ,投手,球速&変化球,ガード,明鏡止水(確定)＋火事場の馬鹿力(確定)¶威圧感(野手)(確定),鉄仮面(確定)＋ド根性(確定)¶威圧感(投手)(確定),-,スタミナ+2,なし,前イベ
[袴]明星雪華,彼女,,ガード,スイープ(確定)¶大番狂わせ(確定),怪童(確定)¶ドクターK(確定),-,走力+2(Lv40以上時)¶スタミナ+2(Lv40以上時),［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
